rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
02/07/2025,12:14:10.99,327.64,-943.85,-39.06,1.46,1.02,-2.61,-21.15,-4.35,31.95,33.59,0.0,
02/07/2025,12:14:11.09,340.82,-946.78,-54.20,3.13,2.76,-0.48,-21.30,-3.75,32.10,33.44,20.0,
02/07/2025,12:14:11.19,329.10,-937.01,-42.48,2.55,0.95,-1.50,-20.25,-4.95,32.40,33.35,15.0,
02/07/2025,12:14:11.29,347.66,-947.75,-47.85,-0.01,1.65,0.26,-22.20,-3.90,31.50,33.83,12.903,
02/07/2025,12:14:11.39,336.43,-944.82,-48.83,-1.56,-0.42,-1.42,-20.70,-3.15,32.70,33.64,12.195,
02/07/2025,12:14:11.49,342.77,-938.96,-49.80,0.63,1.83,-0.93,-21.30,-6.15,32.10,33.30,11.765,
02/07/2025,12:14:11.60,164.55,-998.05,163.09,-1.50,3.12,7.50,-21.90,-4.80,32.70,33.64,11.475,
02/07/2025,12:14:11.70,342.77,-948.73,-44.43,0.24,1.76,1.65,-21.0,-4.20,32.10,33.59,11.268,
02/07/2025,12:14:11.80,343.75,-942.38,-40.04,0.93,3.53,-0.97,-19.05,-3.75,32.10,33.25,11.111,
02/07/2025,12:14:11.90,315.92,-947.27,-29.30,0.18,1.93,3.56,-21.15,-5.10,33.0,33.68,10.989,
02/07/2025,12:14:12.00,322.27,-945.80,-42.48,0.79,0.48,-2.74,-20.25,-3.0,32.10,33.49,10.891,
02/07/2025,12:14:12.10,318.36,-954.10,-45.41,4.13,1.77,-1.34,-20.70,-3.60,32.25,33.25,10.811,
02/07/2025,12:14:12.20,313.48,-938.96,-48.83,1.50,9.21,-6.74,-21.75,-4.50,33.60,33.49,10.744,
02/07/2025,12:14:12.30,315.92,-901.86,-8.79,-2.29,25.02,-18.32,-21.15,-3.15,32.70,33.64,10.687,
02/07/2025,12:14:12.40,484.86,-791.99,32.71,44.04,36.20,-11.91,-21.15,-4.80,34.50,33.35,10.638,
02/07/2025,12:14:12.50,446.78,-865.72,122.56,55.21,66.66,-39.15,-21.75,-1.05,37.95,33.35,10.596,
02/07/2025,12:14:12.60,344.24,-723.14,299.32,72.75,118.94,-41.62,-19.80,3.75,42.75,33.35,10.559,
02/07/2025,12:14:12.70,448.73,-737.30,446.78,20.54,44.85,-75.73,-15.30,3.45,47.40,33.25,10.526,
02/07/2025,12:14:12.80,548.83,-639.65,649.90,62.67,26.81,-27.35,-15.15,7.35,48.75,33.16,10.440,
02/07/2025,12:14:12.90,509.77,-524.90,679.69,53.50,41.13,-2.81,-15.45,10.95,53.10,33.11,10.417,
02/07/2025,12:14:13.00,420.41,-546.88,641.11,15.06,49.69,-22.31,-12.45,14.40,54.15,33.16,10.396,
02/07/2025,12:14:13.10,513.67,-552.25,618.16,24.42,10.96,-10.72,-10.65,16.20,55.65,32.97,10.377,
02/07/2025,12:14:13.21,442.87,-466.31,805.18,47.56,31.95,-9.32,-10.50,18.45,55.80,33.06,10.360,
02/07/2025,12:14:13.31,294.92,-355.96,870.61,36.63,45.37,11.36,-6.30,22.65,56.25,33.11,10.345,
02/07/2025,12:14:13.41,165.04,-426.76,709.96,-2.22,102.85,-11.26,-0.30,25.35,55.20,32.73,10.331,
02/07/2025,12:14:13.51,-18.55,-302.25,973.63,45.38,34.23,-17.20,6.15,22.05,54.15,32.77,10.317,
02/07/2025,12:14:13.61,48.83,-298.83,992.19,12.76,45.55,-17.31,9.45,26.25,52.05,32.77,10.305,
02/07/2025,12:14:13.71,-19.53,-249.02,900.88,32.92,8.01,-11.78,10.05,26.10,52.95,32.73,10.294,
02/07/2025,12:14:13.81,6.35,-257.81,903.81,49.30,-16.32,-8.77,10.95,28.50,52.05,32.63,10.284,
02/07/2025,12:14:13.91,45.90,-104.49,843.75,-21.55,109.37,-1.31,10.20,30.90,54.15,32.73,10.274,
02/07/2025,12:14:14.01,-150.39,-149.90,1224.12,19.09,31.48,9.85,14.70,31.65,53.85,32.58,10.265,
02/07/2025,12:14:14.11,-75.68,-183.11,991.70,-8.24,50.37,-3.89,17.70,30.45,51.60,32.44,10.256,
02/07/2025,12:14:14.21,-250.98,-130.86,1031.25,12.95,31.32,3.63,19.65,33.15,49.80,32.39,10.248,
02/07/2025,12:14:14.31,-229.49,-153.81,1045.90,12.12,-12.15,6.88,19.50,33.30,49.95,32.63,10.241,
02/07/2025,12:14:14.41,-169.92,-112.79,990.72,4.08,2.34,4.79,19.65,33.90,51.60,32.73,10.204,
02/07/2025,12:14:14.51,-198.24,-132.81,999.51,6.53,1.19,-0.69,18.75,34.95,49.35,32.44,10.198,
02/07/2025,12:14:14.61,-211.43,-104.98,998.54,-5.44,15.98,1.55,18.15,33.60,49.80,32.73,10.193,
02/07/2025,12:14:14.71,-259.28,-116.21,1041.50,0.41,-1.70,11.92,19.50,36.0,47.85,32.73,10.188,
02/07/2025,12:14:14.82,-173.34,-93.75,903.81,3.68,8.73,-0.73,18.30,35.25,49.35,32.39,10.183,
02/07/2025,12:14:14.92,-211.43,-104.98,965.33,-4.35,10.27,-3.27,19.65,35.55,50.25,32.73,10.178,
02/07/2025,12:14:15.02,-184.57,-81.54,997.07,10.18,-9.61,-3.26,19.80,36.45,49.95,32.63,10.174,
02/07/2025,12:14:15.12,-171.39,-50.29,1001.95,22.70,-22.64,9.75,18.45,37.05,50.55,32.73,10.169,
02/07/2025,12:14:15.22,-157.71,-30.76,1087.40,31.13,-39.93,14.81,16.05,37.65,51.45,32.39,10.165,
02/07/2025,12:14:15.32,-80.08,-18.07,1011.23,19.44,-9.93,8.08,15.0,41.10,52.20,32.58,10.162,
02/07/2025,12:14:15.42,-83.98,84.47,963.38,50.13,35.16,8.19,13.65,43.50,49.80,32.73,10.158,
02/07/2025,12:14:15.52,-103.52,190.92,1013.18,19.11,48.95,-11.50,14.40,46.20,48.0,32.25,10.155,
02/07/2025,12:14:15.62,-160.16,191.41,960.45,-24.73,44.82,19.27,19.20,45.90,42.45,32.73,10.151,
02/07/2025,12:14:15.72,-359.38,61.52,903.32,-37.56,19.55,-30.41,22.05,44.85,41.55,32.63,10.148,
02/07/2025,12:14:15.82,-293.95,-64.45,921.88,-99.29,74.89,-15.24,22.65,39.75,41.10,32.44,10.145,
02/07/2025,12:14:15.92,-327.15,-228.52,1004.88,-66.0,-16.44,5.09,21.90,34.35,41.40,32.39,10.142,
02/07/2025,12:14:16.02,-305.66,-212.40,707.03,-76.19,9.32,24.66,21.75,33.30,40.20,32.39,10.119,
02/07/2025,12:14:16.12,-337.89,-333.50,809.08,-72.27,38.06,-26.13,23.40,29.70,39.30,32.53,10.117,
02/07/2025,12:14:16.22,-97.66,-305.18,722.17,-16.41,19.33,-18.51,25.05,26.40,35.40,32.25,10.115,
02/07/2025,12:14:16.32,-392.09,-441.89,865.72,26.03,-18.51,12.91,23.70,24.0,37.05,32.58,10.112,
02/07/2025,12:14:16.43,-281.74,-335.94,956.05,44.89,28.50,20.47,21.45,28.50,39.30,32.58,10.110,
02/07/2025,12:14:16.53,-366.21,-196.78,903.32,65.05,13.73,13.12,25.20,33.15,38.85,32.58,10.108,
02/07/2025,12:14:16.63,-420.90,-100.10,906.25,34.31,9.88,15.48,25.20,35.55,38.55,32.39,10.106,
02/07/2025,12:14:16.73,-426.76,-112.30,832.52,-9.83,9.71,12.05,25.65,37.80,39.60,32.53,10.105,
02/07/2025,12:14:16.83,-477.54,-53.71,944.82,43.24,2.85,8.44,27.15,39.0,40.35,32.44,10.103,
02/07/2025,12:14:16.93,-416.50,6.35,985.35,8.73,13.02,11.37,27.30,43.05,38.70,32.53,10.101,
02/07/2025,12:14:17.03,-452.64,0.49,910.16,-23.85,42.17,25.50,28.95,42.0,38.10,32.58,10.099,
02/07/2025,12:14:17.13,-544.43,-50.78,806.15,-7.50,52.88,1.01,29.40,42.45,35.55,32.73,10.098,
02/07/2025,12:14:17.23,-615.72,-25.88,780.27,-14.93,45.36,1.11,30.45,42.75,32.25,32.44,10.096,
02/07/2025,12:14:17.33,-685.06,-39.55,752.93,-0.55,34.52,-0.54,31.95,40.50,27.90,32.29,10.095,
