rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
02/07/2025,12:15:05.14,229.49,896.00,-339.84,-0.35,4.44,1.45,-39.75,64.95,-19.65,34.12,100.0,
02/07/2025,12:15:05.24,231.45,909.18,-334.47,-1.53,3.91,-2.92,-37.80,66.0,-19.65,34.12,18.182,
02/07/2025,12:15:05.34,234.86,909.67,-351.07,1.31,0.98,-0.87,-37.80,65.70,-21.45,34.12,14.286,
02/07/2025,12:15:05.45,225.59,903.81,-321.29,0.51,2.81,-1.28,-37.95,64.35,-21.75,34.21,12.903,
02/07/2025,12:15:05.55,240.23,895.51,-348.14,0.97,1.96,0.06,-39.0,65.25,-20.70,34.21,12.195,
02/07/2025,12:15:05.65,219.24,897.46,-341.80,-1.50,0.39,-1.05,-38.70,65.85,-20.25,34.36,11.765,
02/07/2025,12:15:05.75,230.47,890.63,-328.61,-1.90,-0.42,3.27,-39.15,65.40,-19.80,34.02,11.475,
02/07/2025,12:15:05.85,228.03,898.44,-333.98,0.98,1.37,2.43,-38.55,66.0,-20.40,33.88,11.268,
02/07/2025,12:15:05.95,226.07,904.79,-329.10,1.22,1.31,-1.32,-39.0,66.45,-20.70,33.88,11.111,
02/07/2025,12:15:06.05,228.52,899.90,-343.26,-2.09,3.63,-3.04,-37.80,66.0,-20.10,34.21,10.989,
02/07/2025,12:15:06.15,239.75,917.97,-332.52,1.89,0.50,0.31,-38.40,66.30,-20.55,34.02,10.891,
02/07/2025,12:15:06.25,233.40,890.14,-327.15,1.52,-0.81,-0.96,-39.45,64.65,-20.25,34.40,10.811,
02/07/2025,12:15:06.35,237.79,910.16,-337.40,-0.73,-0.31,-2.84,-39.0,66.45,-20.40,34.36,10.744,
02/07/2025,12:15:06.45,230.96,911.62,-356.45,0.37,-1.14,-1.78,-39.0,65.70,-20.70,34.31,10.606,
02/07/2025,12:15:06.55,234.86,895.51,-358.40,-1.37,1.89,-2.47,-38.40,63.90,-20.55,34.12,10.563,
02/07/2025,12:15:06.65,228.03,918.46,-349.12,-1.50,1.27,-2.02,-38.40,65.10,-21.75,34.31,10.526,
02/07/2025,12:15:06.76,228.52,908.20,-346.19,-0.50,1.74,-0.48,-37.95,66.30,-20.55,34.12,10.494,
02/07/2025,12:15:06.86,206.54,890.14,-357.42,-2.93,-2.25,3.65,-37.80,66.75,-21.45,34.21,10.465,
02/07/2025,12:15:06.96,237.30,908.69,-352.54,-0.67,3.79,-1.09,-39.75,66.0,-20.40,34.12,10.440,
02/07/2025,12:15:07.06,233.89,914.55,-331.54,-0.80,-0.37,3.56,-38.25,65.70,-20.10,34.21,10.417,
02/07/2025,12:15:07.16,229.49,893.07,-350.59,1.27,-2.40,1.78,-38.25,64.50,-22.20,34.31,10.396,
02/07/2025,12:15:07.26,228.52,900.88,-342.29,-3.50,-1.48,0.26,-39.15,65.40,-21.30,34.40,10.377,
02/07/2025,12:15:07.36,237.30,910.16,-344.73,-1.76,0.66,-1.20,-38.55,66.45,-21.15,34.36,10.360,
02/07/2025,12:15:07.46,236.82,907.71,-344.73,-1.11,0.52,1.58,-36.45,64.65,-19.80,34.40,10.345,
02/07/2025,12:15:07.56,244.63,896.48,-352.05,0.16,-0.07,-0.17,-38.55,64.50,-21.45,34.40,10.331,
02/07/2025,12:15:07.66,241.21,894.04,-335.94,-1.22,2.19,-2.16,-38.40,66.30,-21.75,34.31,10.317,
