rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:06.26,369.63,121.09,949.22,5.54,-95.45,9.89,-7.35,47.40,44.70,29.95,10.142,
01/01/2000,00:00:06.36,408.69,99.12,970.70,-2.23,-15.55,0.78,-9.75,47.25,43.35,29.47,10.139,
01/01/2000,00:00:06.46,430.66,108.40,921.39,-0.33,-3.79,1.82,-10.05,45.75,44.10,29.90,10.136,
01/01/2000,00:00:06.56,458.50,104.98,896.97,-1.51,-1.80,-0.33,-11.70,47.70,42.90,29.95,10.134,
01/01/2000,00:00:06.66,451.17,104.98,906.25,-2.15,-2.91,-0.60,-10.95,46.95,42.45,29.99,10.131,
01/01/2000,00:00:06.76,460.45,94.73,887.21,0.40,-1.89,1.92,-12.45,45.90,42.15,29.95,10.129,
01/01/2000,00:00:06.86,462.40,101.56,896.00,0.74,-1.56,0.92,-11.70,46.95,42.45,29.75,10.127,
01/01/2000,00:00:06.96,462.40,108.89,875.49,2.50,-1.89,1.63,-11.70,45.90,42.90,29.75,10.124,
01/01/2000,00:00:07.06,462.89,107.91,886.72,0.55,0.19,1.53,-12.0,47.40,42.45,29.95,10.122,
01/01/2000,00:00:07.16,475.10,109.86,879.88,0.10,-1.01,-0.28,-10.80,48.0,43.35,29.90,10.120,
01/01/2000,00:00:07.26,470.21,102.05,880.86,-1.47,-1.61,-2.65,-11.70,46.65,41.85,29.99,10.118,
01/01/2000,00:00:07.36,484.38,91.31,882.81,-1.51,-2.58,2.03,-12.60,46.50,43.05,29.80,10.099,
01/01/2000,00:00:07.46,468.75,100.59,881.84,-1.08,-1.19,-2.27,-11.70,46.20,40.35,29.75,10.098,
01/01/2000,00:00:07.56,476.07,106.45,872.56,0.03,-0.18,0.32,-14.10,46.80,41.55,29.90,10.096,
01/01/2000,00:00:07.66,479.49,88.38,879.39,-1.19,-0.22,-1.50,-11.85,46.50,43.35,29.90,10.095,
01/01/2000,00:00:07.77,477.05,102.05,878.42,-1.37,0.51,-0.73,-13.20,46.65,41.85,29.95,10.093,
01/01/2000,00:00:07.87,481.93,101.07,876.46,-1.55,2.96,-0.06,-10.80,46.50,44.10,30.14,10.092,
01/01/2000,00:00:07.97,485.84,102.05,877.93,0.89,-2.86,2.57,-13.35,46.05,42.75,29.90,10.090,
01/01/2000,00:00:08.07,479.98,97.66,877.93,-0.31,-2.40,-0.84,-13.35,46.05,42.0,30.19,10.089,
01/01/2000,00:00:08.17,478.03,88.87,879.39,-1.38,2.99,0.53,-12.60,46.05,42.30,29.99,10.088,
01/01/2000,00:00:08.27,479.49,99.61,875.0,-0.96,-0.17,1.27,-13.35,46.80,41.25,29.90,10.086,
01/01/2000,00:00:08.37,472.17,111.33,880.86,0.63,0.63,2.79,-11.70,46.65,43.20,30.09,10.085,
01/01/2000,00:00:08.47,490.72,109.86,874.02,0.34,-1.47,1.08,-14.70,48.15,42.90,30.19,10.084,
01/01/2000,00:00:08.57,476.07,99.12,867.19,0.50,0.47,1.92,-13.95,46.65,42.15,29.80,10.083,
01/01/2000,00:00:08.67,480.96,89.84,881.84,-2.30,-1.37,0.65,-14.10,47.55,43.35,29.99,10.082,
01/01/2000,00:00:08.77,481.93,88.87,871.09,0.54,-0.35,0.85,-13.35,45.75,42.0,30.09,10.081,
01/01/2000,00:00:08.87,484.38,98.63,877.44,-2.98,2.82,-1.08,-13.20,46.65,42.90,30.09,10.080,
01/01/2000,00:00:08.97,486.33,85.45,879.39,0.52,1.79,2.05,-12.60,46.50,41.25,29.99,10.065,
01/01/2000,00:00:09.07,481.45,96.68,880.37,-2.02,-2.61,1.12,-12.60,46.50,42.75,30.33,10.065,
01/01/2000,00:00:09.17,482.42,93.26,875.49,-2.38,0.83,-5.66,-12.30,44.85,41.25,29.66,10.064,
01/01/2000,00:00:09.27,493.16,108.40,863.28,0.72,1.80,6.07,-12.30,47.55,42.0,30.19,10.063,
01/01/2000,00:00:09.38,492.19,102.05,875.49,-1.46,-0.11,-3.52,-13.20,45.90,42.45,29.95,10.062,
01/01/2000,00:00:09.48,487.30,95.21,870.12,-1.71,1.10,0.95,-13.65,45.75,42.0,29.99,10.061,
01/01/2000,00:00:09.58,493.65,106.93,875.0,-2.21,0.76,-2.73,-12.75,45.15,42.90,29.66,10.061,
