rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:55.82,500.98,98.14,874.51,1.90,-0.86,2.16,-14.10,48.75,43.80,30.67,100.0,
01/01/2000,00:00:55.92,481.93,114.75,866.21,-1.70,1.16,-3.29,-12.75,45.90,41.40,30.81,18.182,
01/01/2000,00:00:56.02,492.68,106.93,878.91,0.88,-4.56,1.47,-12.75,46.65,42.90,30.81,14.286,
01/01/2000,00:00:56.12,491.21,92.29,871.58,-0.66,-2.66,-0.56,-13.35,46.50,42.30,30.81,12.903,
01/01/2000,00:00:56.22,488.77,98.63,870.12,0.41,0.67,1.49,-13.65,47.25,42.30,30.95,12.195,
01/01/2000,00:00:56.32,477.05,103.03,875.0,-1.95,-0.62,-1.21,-13.50,44.70,42.90,30.67,11.765,
01/01/2000,00:00:56.42,480.47,103.03,864.26,-0.48,-2.07,-1.16,-12.30,45.30,42.75,30.81,11.475,
01/01/2000,00:00:56.52,476.56,104.98,867.19,-1.79,-4.55,3.56,-12.75,46.65,42.90,30.71,11.268,
01/01/2000,00:00:56.62,481.93,110.35,876.46,-3.42,3.79,1.15,-12.60,46.50,42.75,30.67,11.111,
01/01/2000,00:00:56.72,481.93,97.17,874.02,1.60,-1.65,2.32,-14.25,45.45,41.40,30.67,10.989,
01/01/2000,00:00:56.82,474.12,110.35,872.56,0.15,2.37,0.47,-13.95,46.65,42.45,30.62,10.891,
01/01/2000,00:00:56.92,478.03,84.47,870.61,1.16,-1.56,1.18,-13.35,46.50,42.75,30.81,10.811,
01/01/2000,00:00:57.02,485.35,96.68,866.21,-0.24,2.05,2.95,-14.10,46.05,41.25,30.71,10.744,
01/01/2000,00:00:57.12,491.70,112.30,874.51,-2.32,2.11,-0.05,-14.10,47.25,41.55,30.52,10.606,
01/01/2000,00:00:57.22,487.79,101.07,860.35,1.43,-2.50,2.15,-13.20,46.20,41.10,30.81,10.563,
01/01/2000,00:00:57.32,499.02,96.19,866.70,-0.12,-1.54,2.27,-13.95,45.90,43.20,30.47,10.526,
01/01/2000,00:00:57.42,485.84,106.45,876.46,-0.93,-1.24,0.51,-13.35,46.05,42.0,30.67,10.494,
01/01/2000,00:00:57.53,481.45,107.42,865.23,-1.31,2.50,1.06,-14.85,44.55,42.75,30.47,10.465,
01/01/2000,00:00:57.63,488.77,89.84,869.63,1.28,-1.16,2.05,-14.25,46.20,42.45,30.52,10.440,
01/01/2000,00:00:57.73,487.30,102.05,874.02,-0.77,-1.97,4.93,-11.55,46.50,42.30,30.95,10.417,
01/01/2000,00:00:57.83,481.45,106.93,871.58,0.19,-1.50,1.50,-11.70,46.65,41.40,30.86,10.396,
01/01/2000,00:00:57.93,485.35,93.75,863.28,-2.30,-0.53,-1.78,-13.35,47.25,42.75,30.19,10.377,
01/01/2000,00:00:58.03,481.93,105.96,877.93,1.41,-4.56,-0.13,-14.70,46.65,42.90,30.81,10.360,
01/01/2000,00:00:58.13,480.96,89.36,868.65,0.53,-3.63,2.18,-13.50,46.65,41.85,30.47,10.345,
01/01/2000,00:00:58.23,477.54,101.56,868.65,-1.79,0.21,-2.06,-12.75,46.95,42.45,30.67,10.331,
01/01/2000,00:00:58.33,487.79,98.63,868.65,3.10,1.24,1.17,-12.75,46.65,42.45,30.62,10.317,
01/01/2000,00:00:58.43,475.59,97.17,860.35,-3.41,1.10,0.31,-13.05,46.50,42.30,31.00,10.305,
01/01/2000,00:00:58.53,484.38,97.66,875.0,-2.24,0.92,-0.40,-12.30,45.75,42.30,30.81,10.294,
01/01/2000,00:00:58.63,486.82,95.70,876.95,-0.05,-2.39,-1.76,-13.20,46.20,42.45,30.86,10.284,
01/01/2000,00:00:58.73,477.54,101.56,868.16,-4.12,-2.83,-1.43,-13.65,45.75,41.25,30.33,10.274,
01/01/2000,00:00:58.83,486.33,101.07,859.38,-1.22,-3.35,-1.11,-12.45,46.95,42.90,30.62,10.231,
01/01/2000,00:00:58.93,481.93,103.03,859.38,-1.07,-4.95,0.04,-13.50,46.65,42.15,30.86,10.224,
